firstdevice,seconddevice,daytimestampFirst,daytimestampFirstID,daytimestampSecond,daytimestampSecondID,cosinesimilarity
62,62,09-23-16-Friday,12,09-23-16-Friday,12,1.0
62,1,09-23-16-Friday,12,12-07-16-Wednesday,87,0.811043672918
62,1,09-23-16-Friday,12,09-29-16-Thursday,18,0.743622002259
62,62,09-23-16-Friday,12,09-26-16-Monday,15,0.71484622952
62,67,09-23-16-Friday,12,02-08-17-Wednesday,150,0.696688143187
62,34,09-23-16-Friday,12,02-13-17-Monday,155,0.651303487033
62,31,09-23-16-Friday,12,11-24-16-Thursday,74,0.633323420258
62,16,09-23-16-Friday,12,02-13-17-Monday,155,0.624477250964
62,11,09-23-16-Friday,12,10-19-16-Wednesday,38,0.619333936007
62,8,09-23-16-Friday,12,12-06-16-Tuesday,86,0.609060521212
62,29,09-23-16-Friday,12,09-23-16-Friday,12,0.607262374809
62,62,09-26-16-Monday,15,09-26-16-Monday,15,1.0
62,1,09-26-16-Monday,15,02-07-17-Tuesday,149,0.78444542684
62,1,09-26-16-Monday,15,12-07-16-Wednesday,87,0.762102853704
62,1,09-26-16-Monday,15,09-29-16-Thursday,18,0.755027203167
62,62,09-26-16-Monday,15,09-23-16-Friday,12,0.71484622952
62,7,09-26-16-Monday,15,01-05-17-Thursday,116,0.704766592521
62,45,09-26-16-Monday,15,09-20-16-Tuesday,9,0.695227723023
62,16,09-26-16-Monday,15,12-09-16-Friday,89,0.678677255674
62,11,09-26-16-Monday,15,09-23-16-Friday,12,0.657792516672
62,22,09-26-16-Monday,15,12-01-16-Thursday,81,0.645951418783
62,42,09-26-16-Monday,15,09-22-16-Thursday,11,0.643919370503
62,62,09-28-16-Wednesday,17,09-28-16-Wednesday,17,1.0
62,2,09-28-16-Wednesday,17,10-19-16-Wednesday,38,0.767618371868
62,1,09-28-16-Wednesday,17,12-06-16-Tuesday,86,0.763919058063
62,45,09-28-16-Wednesday,17,01-11-17-Wednesday,122,0.674231867242
62,68,09-28-16-Wednesday,17,02-03-17-Friday,145,0.63122196627
62,23,09-28-16-Wednesday,17,11-14-16-Monday,64,0.622252086598
62,1,09-28-16-Wednesday,17,09-23-16-Friday,12,0.616290376938
62,68,09-28-16-Wednesday,17,01-19-17-Thursday,130,0.605228493488
62,21,09-28-16-Wednesday,17,11-22-16-Tuesday,72,0.603082719478
62,35,09-28-16-Wednesday,17,09-21-16-Wednesday,10,0.574886539733
62,16,09-28-16-Wednesday,17,09-23-16-Friday,12,0.54503975881
